grid, u, T, D, Y_C2H4, Y_H2, Y_H, Y_O2, Y_O, Y_H2O, Y_CO, Y_CO2, Y_OH, Y_HCO, Y_HO2, Y_H2O2, Y_C2H3, Y_C2H2, Y_CH4, Y_CH3, Y_CH2, Y_CH2O, Y_CH2CHO, Y_N2, Qdot
2.748437500000e-02, 5.953928587219e-01, 3.000053630723e+02, 1.169554910908e+00, 6.372875915082e-02, 1.784894423093e-05, 5.985358181496e-17, 2.180631742844e-01, 7.355511995430e-13, 3.861196606593e-07, 9.526841343519e-08, 1.105455003599e-09, 4.042604374689e-12, 2.857921231294e-15, 1.781026018119e-09, 9.558429863241e-10, 2.411213193395e-15, 7.941178405922e-10, 6.588723489185e-09, 9.747983759076e-10, 1.826900910360e-15, 2.226453743361e-10, 3.189095427079e-13, 7.181897238048e-01, 2.377790867131e+00
2.750000000000e-02, 5.954116909410e-01, 3.000074021533e+02, 1.169517919168e+00, 6.372869677543e-02, 1.971285882805e-05, 8.309391846290e-17, 2.180628185842e-01, 1.018980288942e-12, 5.289312131884e-07, 1.338386917987e-07, 1.696978066875e-09, 5.594522191673e-12, 3.956513686741e-15, 2.495695515382e-09, 1.345067113018e-09, 3.337178828623e-15, 1.172066699319e-09, 9.046912659380e-09, 1.337174457809e-09, 2.530843469772e-15, 3.349477627494e-10, 4.407199083713e-13, 7.181880915757e-01, 3.293207397255e+00
2.751562500000e-02, 5.954340234461e-01, 3.000103090115e+02, 1.169474054922e+00, 6.372862173440e-02, 2.179882195027e-05, 1.158899034471e-16, 2.180623972424e-01, 1.417708786043e-12, 7.309042337132e-07, 1.898819203929e-07, 2.641649850463e-09, 7.775318294920e-12, 5.500991332258e-15, 3.531813776255e-09, 1.911613552697e-09, 4.638589583720e-15, 1.750917618007e-09, 1.253222785073e-08, 1.850425882131e-09, 3.521151040927e-15, 5.122080550694e-10, 6.121825613815e-13, 7.181862366744e-01, 4.582228846893e+00
2.753125000000e-02, 5.954608077288e-01, 3.000144527663e+02, 1.169421451084e+00, 6.372852994086e-02, 2.413329040271e-05, 1.621826218904e-16, 2.180618918467e-01, 1.978417274301e-12, 1.016546461739e-06, 2.713136491905e-07, 4.150345022709e-09, 1.083748496669e-11, 7.671004724096e-15, 5.034082847360e-09, 2.736262499446e-09, 6.466392498759e-15, 2.637461117822e-09, 1.747383743553e-08, 2.577369826436e-09, 4.913758137611e-15, 7.925366836349e-10, 8.530952577823e-13, 7.181841216464e-01, 6.397217768435e+00
2.754687500000e-02, 5.954933357435e-01, 3.000203594289e+02, 1.169357573025e+00, 6.372841555276e-02, 2.674587197764e-05, 2.275750367176e-16, 2.180612769681e-01, 2.766885469186e-12, 1.420516913933e-06, 3.896351194764e-07, 6.559865473658e-09, 1.513521058222e-11, 1.071907840190e-14, 7.212380873770e-09, 3.936588297735e-09, 9.032520460325e-15, 3.995249491393e-09, 2.448021803931e-08, 3.606976513447e-09, 6.872031092437e-15, 1.236604197129e-09, 1.191316801974e-12, 7.181817004082e-01, 8.954440213154e+00
2.756250000000e-02, 5.955333768473e-01, 3.000287785106e+02, 1.169278950450e+00, 6.372827014057e-02, 2.966969900700e-05, 3.200650139099e-16, 2.180605171297e-01, 3.875945452349e-12, 1.991829244677e-06, 5.615572521804e-07, 1.040813494876e-08, 2.116553334109e-11, 1.500052344168e-14, 1.037113574677e-08, 5.683711601874e-09, 1.263474592942e-14, 6.074761889612e-09, 3.441405196863e-08, 5.065255938734e-09, 9.626514108637e-15, 1.941079088594e-09, 1.665799317939e-12, 7.181789156594e-01, 1.256227580181e+01
2.757812500000e-02, 5.955833718693e-01, 3.000407778541e+02, 1.169180797732e+00, 6.372808145005e-02, 3.294184493193e-05, 4.511328102984e-16, 2.180595624150e-01, 5.436861971936e-12, 2.799794060826e-06, 8.113597663081e-07, 1.655428136567e-08, 2.962640291524e-11, 2.101596939721e-14, 1.495194507033e-08, 8.226670570323e-09, 1.769190458369e-14, 9.259593177570e-09, 4.849838782945e-08, 7.130674249568e-09, 1.350316627493e-14, 3.060101379762e-09, 2.330175272980e-12, 7.181756954171e-01, 1.766308255130e+01
2.758593750000e-02, 5.956133725957e-01, 3.000486907112e+02, 1.169121906721e+00, 6.372796415410e-02, 3.472408962490e-05, 5.374045228198e-16, 2.180589854550e-01, 6.456539455974e-12, 3.329271013065e-06, 9.786931843190e-07, 2.100355297773e-08, 3.513628612550e-11, 2.493790852487e-14, 1.801582901687e-08, 9.932477670896e-09, 2.098691163729e-14, 1.148677243775e-08, 5.774713506821e-08, 8.485833445345e-09, 1.603502683067e-14, 3.867288312674e-09, 2.759681521133e-12, 7.181738877537e-01, 2.100845454513e+01
2.759375000000e-02, 5.956475950266e-01, 3.000582854554e+02, 1.169054735807e+00, 6.372782661942e-02, 3.661248566870e-05, 6.412495030613e-16, 2.180583231913e-01, 7.679456679508e-12, 3.968397758469e-06, 1.183924918777e-06, 2.678121094720e-08, 4.173109769553e-11, 2.963754522436e-14, 2.176989349352e-08, 1.202673561855e-08, 2.493287801219e-14, 1.430580674739e-08, 6.892784833466e-08, 1.012307770580e-08, 1.907197118070e-14, 4.913652614763e-09, 3.275665198705e-12, 7.181719264800e-01, 2.504178251357e+01
2.760156250000e-02, 5.956868074449e-01, 3.000699192336e+02, 1.168977780161e+00, 6.372766438380e-02, 3.861334946860e-05, 7.664547768627e-16, 2.180575589482e-01, 9.146214049783e-12, 4.739874585538e-06, 1.435636637521e-06, 3.428382535010e-08, 4.962306519667e-11, 3.526799892241e-14, 2.636972948672e-08, 1.459786806796e-08, 2.965771085365e-14, 1.787394544236e-08, 8.244399676189e-08, 1.210111464819e-08, 2.271441952735e-14, 6.270536693918e-09, 3.894465349401e-12, 7.181697938036e-01, 2.991005020129e+01
2.760937500000e-02, 5.957319334198e-01, 3.000840249173e+02, 1.168889231505e+00, 6.372747192000e-02, 4.073337084383e-05, 9.175781305298e-16, 2.180566724191e-01, 1.090573707493e-11, 5.671097747492e-06, 1.744352294534e-06, 4.402631871332e-08, 5.906628871385e-11, 4.201408442059e-14, 3.200602236407e-08, 1.775440838396e-08, 3.531514385064e-14, 2.239019900027e-08, 9.878325885288e-08, 1.449086475741e-08, 2.708381027316e-14, 8.030638887566e-09, 4.636022985265e-12, 7.181674692836e-01, 3.579588471836e+01
2.761718750000e-02, 5.957840842006e-01, 3.001011271172e+02, 1.168786915099e+00, 6.372724237660e-02, 4.297963432095e-05, 1.100205104983e-15, 2.180556388507e-01, 1.301705719279e-11, 6.795129185484e-06, 2.122977240968e-06, 5.667726239933e-08, 7.036522309011e-11, 5.009825455317e-14, 3.891247197955e-08, 2.162956381040e-08, 4.208987765981e-14, 2.810641947326e-08, 1.185350731795e-07, 1.737799933740e-08, 3.232667249518e-14, 1.031441817059e-08, 5.524486432629e-12, 7.181649293897e-01, 4.292735703476e+01
2.762500000000e-02, 5.958445979053e-01, 3.001218615689e+02, 1.168668213635e+00, 6.372696725554e-02, 4.535964140686e-05, 1.321223577292e-15, 2.180544280433e-01, 1.555150232482e-11, 8.151865684832e-06, 2.587336365489e-06, 7.310468451729e-08, 8.388494121157e-11, 5.978863748279e-14, 4.737550133799e-08, 2.638681088891e-08, 5.020410103343e-14, 3.534131529892e-08, 1.424118349691e-07, 2.086600458669e-08, 3.862003753462e-14, 1.327841977840e-08, 6.589020601513e-12, 7.181621469869e-01, 5.159147292693e+01
2.763281250000e-02, 5.959150869204e-01, 3.001469985922e+02, 1.168529975364e+00, 6.372663601115e-02, 4.788133381560e-05, 1.589170125788e-15, 2.180530031247e-01, 1.859540185144e-11, 9.789448096553e-06, 3.156833476072e-06, 9.443551100026e-08, 1.000636026768e-10, 7.140897532233e-14, 5.774615809678e-08, 3.222675281549e-08, 5.992550544119e-14, 4.449817456327e-08, 1.712744902702e-07, 2.507988025826e-08, 4.617813813414e-14, 1.712609674403e-08, 7.864838257498e-12, 7.181590907350e-01, 6.215256089861e+01
2.764062500000e-02, 5.959974952204e-01, 3.001774714736e+02, 1.168368403261e+00, 6.372623555142e-02, 5.055311759771e-05, 1.914681738987e-15, 2.180513190478e-01, 2.225344128703e-11, 1.176595935587e-05, 3.855259057802e-06, 1.221326834473e-07, 1.194276660163e-10, 8.535096627783e-14, 7.045470473433e-08, 3.939551987404e-08, 7.157719052856e-14, 5.608727335849e-08, 2.061634316900e-07, 3.017060344007e-08, 5.526071329001e-14, 2.212187353318e-08, 9.394489342261e-12, 7.181557243874e-01, 7.507758973040e+01
2.764843750000e-02, 5.960941676601e-01, 3.002144107887e+02, 1.168178921414e+00, 6.372574961808e-02, 5.338388808759e-05, 2.311092609213e-15, 2.180493207492e-01, 2.665284270847e-11, 1.415146965958e-05, 4.711779525439e-06, 1.580951886511e-07, 1.426105375915e-10, 1.020896957729e-13, 8.602850557463e-08, 4.819505499569e-08, 8.554998768021e-14, 7.075420058296e-08, 2.483357815968e-07, 3.632051443042e-08, 6.618335118277e-14, 2.860941954418e-08, 1.122945635122e-11, 7.181520059760e-01, 9.097136526130e+01
2.765625000000e-02, 5.962079337119e-01, 3.002591858924e+02, 1.167956014109e+00, 6.372515801613e-02, 5.638305553981e-05, 2.795230847785e-15, 2.180469408936e-01, 3.194860174589e-11, 1.703049857487e-05, 5.762148349882e-06, 2.047877724306e-07, 1.703755628131e-10, 1.222030792930e-13, 1.051139567998e-07, 5.899569973813e-08, 1.023179080431e-13, 8.931565032126e-08, 2.993103653340e-07, 4.374981328435e-08, 7.933043719449e-14, 3.703538671523e-08, 1.343210367624e-11, 7.181478868631e-01, 1.106258944045e+02
2.766406250000e-02, 5.963422086103e-01, 3.003134550461e+02, 1.167693032263e+00, 6.372443565662e-02, 5.956057126848e-05, 3.388492972076e-15, 2.180440971107e-01, 3.833008601980e-11, 2.050497731423e-05, 7.050188225131e-06, 2.654090925126e-07, 2.036445612631e-10, 1.463965747326e-13, 1.285033749941e-07, 7.225158362035e-08, 1.224576750458e-13, 1.128046337299e-07, 3.609219341588e-07, 5.272439329079e-08, 9.517145466282e-14, 4.798023532312e-08, 1.607799602394e-11, 7.181433106422e-01, 1.350901536735e+02
