grid, omegaDot_C2H4, omegaDot_H2, omegaDot_H, omegaDot_O2, omegaDot_O, omegaDot_H2O, omegaDot_CO, omegaDot_CO2, omegaDot_OH, omegaDot_HCO, omegaDot_HO2, omegaDot_H2O2, omegaDot_C2H3, omegaDot_C2H2, omegaDot_CH4, omegaDot_CH3, omegaDot_CH2, omegaDot_CH2O, omegaDot_CH2CHO, omegaDot_N2
2.763281250000000286e-02,-3.585069163572881246e-06,-1.170693355632604749e-09,-1.108197481281972735e-10,-7.923695189464436065e-06,-1.093861826038615500e-07,1.650902623955266002e-06,3.348754560883902958e-06,2.896938748347268484e-07,-4.946105253739539870e-07,3.440213235636447850e-10,2.681310221265030442e-06,2.839174699822131003e-07,2.250732001471448233e-10,1.332230094967276000e-08,6.429238044036741949e-08,-6.621219718554838797e-08,5.329193932698986861e-12,3.798024362409850403e-06,4.946255286576587538e-08,0.000000000000000000e+00
2.764062500000000200e-02,-4.283354452834652595e-06,-1.475911084476606532e-09,-1.369112970691060946e-10,-9.344723465525796091e-06,-1.335718799079450033e-07,1.979083899056258624e-06,4.000683601038294989e-06,3.471470472603004940e-07,-5.961061554271973454e-07,4.092500831830863326e-10,2.997222724532385753e-06,4.224087791504074814e-07,2.671217294126371491e-10,1.590935513319354972e-08,9.424494271073662018e-08,-9.629009473416613211e-08,2.732963262312737663e-12,4.539238679032426863e-06,5.904073812144076960e-08,0.000000000000000000e+00
2.764843750000000461e-02,-5.121034681868657372e-06,-1.862185618313518615e-09,-1.700059089991332181e-10,-1.099012174105707140e-05,-1.636776651192271077e-07,2.375876913613387368e-06,4.782717223558133169e-06,4.164613795542012011e-07,-7.203618762135929124e-07,4.860819283246760077e-10,3.275517039578595392e-06,6.293878647837677194e-07,3.162779182736534921e-10,1.901049938710340709e-08,1.383775007256807433e-07,-1.404279642282244981e-07,-1.977896809569863799e-12,5.429063901945954173e-06,7.044341491747270725e-08,0.000000000000000000e+00
2.765625000000000375e-02,-6.126619713493462511e-06,-2.351410004120136018e-09,-2.123163704553593163e-10,-1.287704479348062839e-05,-2.013421844817893589e-07,2.856769861324866943e-06,5.721447795968577754e-06,5.002172397412671776e-07,-8.732605116517497923e-07,5.762631001489263100e-10,3.459477246166731151e-06,9.388995946540156646e-07,3.734181397776623562e-10,2.273019349573477505e-08,2.034473190086710773e-07,-2.052799395291044373e-07,-9.862984936685981644e-12,6.498133297180667538e-06,8.404850321578753033e-08,0.000000000000000000e+00
2.766406250000000289e-02,-7.334780887633907890e-06,-2.971564559680348945e-09,-2.668760388348221724e-10,-1.501277601221885752e-05,-2.487238992685305955e-07,3.441269444474074280e-06,6.849184967992703764e-06,6.016126398919233535e-07,-1.062556501554315797e-06,6.816275023598677900e-10,3.456886735459882293e-06,1.401925069644983681e-06,4.393382992344897146e-10,2.719530975723513868e-08,2.994383409383756040e-07,-3.006652646927333268e-07,-2.245432786088110504e-11,7.783758401346863482e-06,1.003715849870874696e-07,0.000000000000000000e+00
2.767187500000000550e-02,-8.787826034892768653e-06,-3.758500865458357553e-09,-3.378778717867419684e-10,-1.738622477183303556e-05,-3.086874290780856226e-07,4.154160775953552087e-06,8.205264066673795983e-06,7.246333806037429326e-07,-1.298626956676172953e-06,8.040872819852266903e-10,3.121058657824985866e-06,2.094786777046420834e-06,5.146393778805641497e-10,3.256048209244121517e-08,4.411009068036079538e-07,-4.410755111522836048e-07,-4.187066009725994775e-11,9.331490180510201713e-06,1.202049988610782915e-07,0.000000000000000000e+00
2.767968750000000464e-02,-1.053759000333711654e-05,-4.758298538599162714e-09,-4.311855241357441777e-10,-1.995443857470100983e-05,-3.850641744541035567e-07,5.027244830050469725e-06,9.837612440828641183e-06,8.742771749135807625e-07,-1.595608865978346233e-06,9.521521868188301446e-10,2.222256272800361933e-06,3.131701590830951248e-06,6.040513875035174050e-10,3.901495463935774758e-08,6.502239736316739412e-07,-6.478984050758093520e-07,-6.878598275688451283e-11,1.119701679100532459e-05,1.449540613171930319e-07,0.000000000000000000e+00
2.768359375000000594e-02,-1.154755924397653311e-05,-5.358013760770566704e-09,-4.982301688236091453e-10,-2.128944755308515715e-05,-4.312401148445240676e-07,5.538502675433843564e-06,1.077905559997373323e-05,9.613865293441983663e-07,-1.773593337438460381e-06,1.109676222791423498e-09,1.452430540210433785e-06,3.833381800909943411e-06,7.102947109165578157e-10,4.273707269006290309e-08,7.903019886904012966e-07,-7.862417391002424184e-07,-6.124312357759367419e-11,1.227426414906932522e-05,1.601191482424356130e-07,0.000000000000000000e+00
2.768750000000000377e-02,-1.266059394124729837e-05,-6.036509860176392615e-09,-5.707406415197899959e-10,-2.263359973463968151e-05,-4.837948717399124563e-07,6.108295792090054437e-06,1.181718923965168147e-05,1.058005320235580085e-06,-1.974881760029241951e-06,1.211858567027155923e-09,3.849951279714667176e-07,4.696830721455922709e-06,7.704174753577431395e-10,4.683722198125865728e-08,9.614488712556347063e-07,-9.551146878159987083e-07,-7.718979744005001715e-11,1.346290648136994460e-05,1.761783837173402559e-07,0.000000000000000000e+00
2.769140625000000161e-02,-1.388775093292388311e-05,-6.804516476676504544e-09,-6.532444636958463118e-10,-2.395919920138408883e-05,-5.437347571157128103e-07,6.744301783233627956e-06,1.296224407669661215e-05,1.165254763476719250e-06,-2.203237844299660340e-06,1.316499245801472460e-09,-1.061118735096340024e-06,5.759750670917752037e-06,8.318707455248051040e-10,5.135549719390685389e-08,1.170638639195234257e-06,-1.161349454625235290e-06,-1.008787803558322116e-10,1.477498125936201837e-05,1.932745050984549999e-07,0.000000000000000000e+00
