grid, T, mu, alpha, diff_C2H4, diff_H2, diff_H, diff_O2, diff_O, diff_H2O, diff_CO, diff_CO2, diff_OH, diff_HCO, diff_HO2, diff_H2O2, diff_C2H3, diff_C2H2, diff_CH4, diff_CH3, diff_CH2, diff_CH2O, diff_CH2CHO, diff_N2
2.748437500000000533e-02,3.000053630723015772e+02,1.828549333046614408e-05,2.555071359448997042e-05,1.885930007249039846e-05,7.811767696265627190e-05,1.220873508688862712e-04,2.011966143424661905e-05,3.233490669059545285e-05,2.245712602674113166e-05,2.053407664369928131e-05,1.557324877105455255e-05,3.171346398998133704e-05,1.553603744777437868e-05,2.056244581513960344e-05,2.042010310408124633e-05,1.732886107780102250e-05,1.750083185788641919e-05,2.226542356835417945e-05,2.234548743221789998e-05,2.286646554514110065e-05,1.540570515819058667e-05,1.319883643829185027e-05,2.187905411758115246e-05
2.750000000000000361e-02,3.000074021533118867e+02,1.828558104068767274e-05,2.555256000317717029e-05,1.885990416949526337e-05,7.812052098232301464e-05,1.220902696591098660e-04,2.012028043216545565e-05,3.233589799431782963e-05,2.245787188750252594e-05,2.053472578714443493e-05,1.557376354744283717e-05,3.171444027843647244e-05,1.553655581870028794e-05,2.056310329220952226e-05,2.042075687824558181e-05,1.732942463604239278e-05,1.750139997426149936e-05,2.226611121860675254e-05,2.234617467727084976e-05,2.286716523747331798e-05,1.540621992018034118e-05,1.319928052763876213e-05,2.187942174385193038e-05
2.751562500000000189e-02,3.000103090115397890e+02,1.828570821335896170e-05,2.555466222472511237e-05,1.886065322977768230e-05,7.812398278269938904e-05,1.220939971813275401e-04,2.012104799489611211e-05,3.233712612876110047e-05,2.245880016195078439e-05,2.053552831167051640e-05,1.557440029810900842e-05,3.171564933403719287e-05,1.553719912615402244e-05,2.056391563697799793e-05,2.042156455162260321e-05,1.733012317395503599e-05,1.750210428476713781e-05,2.226696472565241130e-05,2.234702815070396773e-05,2.286803459930033172e-05,1.540685866131388384e-05,1.319983079554690739e-05,2.187991369316755154e-05
2.753125000000000364e-02,3.000144527662905034e+02,1.828589189383423072e-05,2.555706603928963678e-05,1.886159557380067303e-05,7.812825462736672569e-05,1.220988258730558516e-04,2.012201365191182363e-05,3.233866981313297204e-05,2.245997237459859146e-05,2.053653483897963105e-05,1.557519935347723706e-05,3.171716842427278694e-05,1.553800913199142360e-05,2.056493385757258551e-05,2.042257679263589942e-05,1.733100163150615920e-05,1.750299015979478240e-05,2.226803955367873331e-05,2.234810353912500744e-05,2.286913056021660668e-05,1.540766280506014141e-05,1.320052255396850429e-05,2.188057904112271547e-05
2.754687500000000538e-02,3.000203594288685736e+02,1.828615640512999804e-05,2.555982919984338498e-05,1.886279847630925515e-05,7.813360212265291758e-05,1.221051663525910013e-04,2.012324636388581481e-05,3.234063861050720680e-05,2.246147429209611402e-05,2.053781577127880242e-05,1.557621681498930002e-05,3.171910507628750023e-05,1.553904399844201689e-05,2.056622887733949097e-05,2.042386404910970067e-05,1.733212256958380185e-05,1.750412076345205458e-05,2.226941295111825665e-05,2.234947841542805086e-05,2.287053243827498751e-05,1.540869003962104999e-05,1.320140495500707083e-05,2.188148727821404466e-05
2.756250000000000366e-02,3.000287785105814464e+02,1.828653644184094755e-05,2.556302563011201152e-05,1.886435602790166320e-05,7.814039437051011918e-05,1.221135968805352060e-04,2.012484258301252253e-05,3.234318571592929397e-05,2.246342599195456620e-05,2.053946948575751573e-05,1.557753109036528238e-05,3.172160962078569954e-05,1.554038509343218282e-05,2.056789978291353636e-05,2.042552473967666624e-05,1.733357347795429757e-05,1.750558443373262624e-05,2.227119298976199950e-05,2.235126132206696544e-05,2.287235123342690226e-05,1.541002106663694318e-05,1.320254673034110452e-05,2.188273692890079736e-05
2.757812500000000194e-02,3.000407778540576373e+02,1.828708147527921725e-05,2.556675129824681258e-05,1.886640030836597262e-05,7.814914679130815340e-05,1.221249337095221192e-04,2.012693770916337640e-05,3.234652613080850136e-05,2.246599617486664220e-05,2.054163397988215738e-05,1.557925218135224472e-05,3.172489301913049590e-05,1.554214666348346290e-05,2.057008554536868229e-05,2.042769689435919878e-05,1.733547716189967597e-05,1.750750517186994593e-05,2.227353141219932156e-05,2.235360468144908171e-05,2.287474283684395873e-05,1.541176919358279248e-05,1.320404434862685484e-05,2.188446782032012341e-05
2.758593750000000455e-02,3.000486907111750270e+02,1.828744231877293705e-05,2.556885995549659657e-05,1.886767471305781494e-05,7.815452906059916082e-05,1.221321249257948901e-04,2.012824385953078537e-05,3.234860733544449134e-05,2.246760233483232426e-05,2.054298059278428346e-05,1.558032333918098447e-05,3.172693815314764300e-05,1.554324546264580805e-05,2.057144482578171523e-05,2.042904760026322594e-05,1.733666363518979878e-05,1.750870241563511604e-05,2.227499015708053076e-05,2.235506703775800663e-05,2.287623578826926272e-05,1.541285950808824170e-05,1.320497753073894075e-05,2.188558821826101021e-05
2.759375000000000369e-02,3.000582854553900347e+02,1.828788089914146225e-05,2.557116403985165495e-05,1.886916651105447848e-05,7.816077262754879645e-05,1.221406379587590006e-04,2.012977285954044076e-05,3.235104262919086986e-05,2.246948547979887333e-05,2.054455481795155564e-05,1.558157586137702498e-05,3.172933081880956212e-05,1.554453219119422591e-05,2.057303342449752885e-05,2.043062609157076509e-05,1.733805228623934270e-05,1.751010378130956547e-05,2.227669848888452444e-05,2.235678000656738298e-05,2.287798497053551082e-05,1.541413622465802395e-05,1.320606956851713416e-05,2.188693151915173168e-05
2.760156250000000283e-02,3.000699192335696921e+02,1.828841378773313098e-05,2.557369004517768277e-05,1.887091869798570789e-05,7.816804362422183035e-05,1.221507412757183669e-04,2.013156879022960454e-05,3.235390197212392293e-05,2.247170061306007913e-05,2.054640151688317702e-05,1.558304551873353040e-05,3.173213964932179032e-05,1.554604405692911853e-05,2.057489650608133969e-05,2.043247722446747664e-05,1.733968308721503491e-05,1.751174963367336528e-05,2.227870582704358397e-05,2.235879324012908121e-05,2.288004117671880463e-05,1.541563624317119946e-05,1.320735185803637374e-05,2.188854417467111531e-05
